Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
672;Sweet Magnolias;Los amigos de toda la vida Maddie, Helen y Dana Sue se levantan mientras hacen malabarismos con las relaciones, la familia y las carreras en la pequeña ciudad sureña de Serenity.;Romantic TV Shows, TV Dramas;JoAnna Garcia Swisher, Brooke Elliott, Heather Headley, Chris Klein, Justin Bruening, Logan Allen, Anneliese Judge, Carson Rowland, Jamie Lynn Spears, Dion Johnstone;;United States;February 4, 2022;2022;TV-14;;2 SEASONS;7.4
673;Through My Window;El enamorado de Raquel por su vecino de al lado se convierte en algo más cuando comienza a desarrollar sentimientos por ella, a pesar de las objeciones de su familia.;International Movies, Romantic Movies;Clara Galle, Julio Peña Fernández, Guillermo Lasheras, Natalia Azahara, Hugo Arbues, Eric Masip, Emilia Lazo, Abel Folk, Rachel Lascar, Pilar Castro;Marçal Forés;;February 4, 2022;2022;TV-MA;113;;
674;Finding Ola;Después de un evento que altera la vida, Ola se embarca en un viaje de autodescubrimiento mientras se trata de los desafíos de criar a dos hijos y llegar a fin de mes.;International TV Shows, TV Comedies, TV Dramas;Hend Sabry, Hany Adel, Sawsan Badr, Nada Moussa, Mahmoud Ellisy, Khaled El Nabawy, Dalia Shawky, Aisel Ramzy, Omar Sharif, Yasmina El-Abd;Hadi El Bagoury;;February 4, 2022;2022;TV-14;;1 SEASON;7.4
675;Honey Girls;Tres jóvenes músicos ingresan a una competencia de talentos organizada por Pop Star Fancy G para convertirse en el próximo gran acto en solitario, pero descubren que sus talentos son mejores juntos.;Children & Family Movies, Comedies, Music & Musicals;Ashanti, Ava Grace, Aliyah Mastin, Frankie McNellis, Tessa Brooks, Skylar Radzion, Chris Gauthier, Cindy Busby;Trey Fanjoy;;February 4, 2022;2021;PG;90;;4.6
676;Kid Cosmic;Los sueños de superhéroes de un niño se hacen realidad cuando encuentra cinco poderosas piedras cósmicas. Pero salvar el día es más difícil de lo que imaginó, y no puede hacerlo solo.;Kids' TV, TV Comedies, TV Sci-Fi & Fantasy;Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver;;United States;February 3, 2022;2022;TV-Y7;;3 SEASONS;7.8
677;Murderville;El detective excéntrico Terry Seattle se une con las estrellas invitadas de celebridades desplegables para investigar una serie de asesinatos en esta comedia criminal de improvisación.;Crime TV Shows, TV Comedies, TV Mysteries;Will Arnett, Haneefah Wood, Lilan Bowden, Philip Smithey, Conan O'Brien, Marshawn Lynch, Kumail Nanjiani, Annie Murphy, Sharon Stone, Ken Jeong;;United States;February 3, 2022;2022;TV-MA;;1 SEASON;6.9
678;Dark Desire;Alma casado pasa un fatídico fin de semana lejos de casa que enciende la pasión, termina en la tragedia y la lleva a cuestionar la verdad sobre las personas cercanas a ella.;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Maite Perroni, Erik Hayser, Alejandro Speitzer, María Fernanda Yepes, Jorge Poza, Regina Pavón, Paulina Matos, Leticia Huijara, Claudia Pineda, Esteban Soberanes, Claudia Ríos, Samantha Orozco, Fabián Merlo, Eligio Meléndez, Carmen Beato, Carlos Torres, Toño Valdés;;Mexico;February 2, 2022;2022;TV-MA;;2 SEASONS;6.6
679;MeatEater;Steven Rinella escribe en algunos de los terrenos más salvajes de Estados Unidos en esta serie sin guión que lo muestra en la búsqueda de animales salvajes, desde los patos hasta los ciervos.;Docuseries, Reality TV, Science & Nature TV;Steven Rinella;;United States;February 2, 2022;2022;TV-14;;6 SEASONS;7.5
680;The Tinder Swindler;Haciéndose pasar por un magnate de diamantes rico y con jet, cortejó a las mujeres en línea y luego las engañó de millones de dólares. Ahora algunas víctimas planean la recuperación.;Documentaries, International Movies;;Felicity Morris;United Kingdom;February 2, 2022;2022;TV-MA;114;;7.3
681;Alpha and Omega;Cuando los guardabosques de parques capturan la cachorro Alpha Wolf Kate y el cachorro de Omega Wolf Humphrey, los dos terminan en una tierra extraña y deben encontrar el camino de regreso a casa.;Children & Family Movies, Comedies, Dramas;Justin Long, Hayden Panettiere, Dennis Hopper, Danny Glover, Larry Miller, Eric Price, Christina Ricci, Vicki Lewis, Chris Carmack, Kevin Sussman, Linda Hamilton, Robert Vaughn, Tommy Lee Jones;Ben Gluck, Anthony Bell;;February 2, 2022;2010;PG;88;;5
682;Anaconda;Un equipo de documentales en un barco en el Amazon recoge a un extraño misterioso que los engaña para que persigue una serpiente monstruosa y mortal de 40 pies de largo.;Action & Adventure, Horror Movies;Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz, Jonathan Hyde, Owen Wilson, Kari Wuhrer, Vincent Castellanos, Danny Trejo, Frank Welker;Luis Llosa;;February 2, 2022;1997;PG-13;89;;4.6
683;Arthur Christmas;En la instalación de juguetes súper secreto de Santa Claus, el Sr. Claus confía a su hijo, Arthur, para llevar a cabo una misión de Navidad ultra importante.;Children & Family Movies, Comedies;James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Ramona Marquez, Marc Wootton, Laura Linney, Eva Longoria, Michael Palin, Joan Cusack, Deborah Findlay, Rich Fulcher, Sarah Smith, Clint Dyer, Kerry Shale, Stewart Lee, Bronagh Gallagher, Kevin Cecil, Alistair McGowan, David Menkin, Kris Pearn, Ian Ashpitel, Rich Hall, Seeta Indrani, Jane Horrocks, Peter Baynham, Emma Kennedy, Dominic West, Jerry Lambert, Julia Davis, Robbie Coltrane, Iain McKee, Sanjeev Bhaskar, Andy Serkis, Tamsin Greig, Rhys Darby, Seamus Malone, Cody Cameron, David Schneider, Kevin Eldon, Danny John-Jules, Brian Cummings;Sarah Smith;;February 2, 2022;2011;PG;98;;7
684;Beauty Inside;Una actriz principal conocida por ser alborotadora y plagada de rumores alberga un secreto importante que afecta su apariencia física.;International TV Shows, Romantic TV Shows, TV Comedies;Seo Hyun-jin, Lee-ki, Lee Da-hee, Ahn Jae-hyeon, Lee Tae-ri, Moon Ji-in, Na Young-hee, Kim Hee-jung, Ryu Hwa-young, Lee Moon-su, Kang Nam-gil, Lee Han-wi, Kim Ye-ryeong, Kim Sung-ryoung, Son Sook, Ra Mi-ran, Moon Woo-jin;;South Korea;February 1, 2022;2018;TV-14;;1 SEASON;7.5
685;Blood Diamond;En Sierra Leona devastada por la guerra, un contrabandista de diamantes ofrece reunir a un pescador local con su familia a cambio de una gema gigantesca que descubrió.;Action & Adventure, Dramas;Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Jimi Mistry, Michael Sheen, Arnold Vosloo, Stephen Collins, David Harewood, Basil Wallace, Benu Mabhena;Edward Zwick;;February 1, 2022;2006;R;143;;8
686;Cleaner;Después de años como detective, Tom dirige un negocio especializado en limpiar escenas del crimen, pero un nuevo concierto en una casa ritzy revela un posible encubrimiento.;Thrillers;Samuel L. Jackson, Ed Harris, Eva Mendes, Luis Guzmán, Keke Palmer, Maggie Lawson, Jose Pablo Cantillo, Robert Forster;Renny Harlin;;February 1, 2022;2007;R;89;;6.3
687;Countdown;Cuando una enfermera descarga una aplicación que predice la hora de muerte exacta del usuario, descubre que tiene tres días para vencer el reloj y cambiar su destino.;Horror Movies;Elizabeth Lail, Jordan Calloway, Talitha Eliana Bateman, Tichina Arnold, P.J. Byrne, Peter Facinelli;Justin Dec;;February 1, 2022;2019;PG-13;91;;5.2
688;Django & Django;A través de entrevistas con los cineastas Quentin Tarantino y Ruggero Deodato, este documental explora el legado de los Westerns Spaghetti de Sergio Corbucci.;Documentaries, International Movies;Quentin Tarantino, Ruggero Deodato, Franco Nero;Luca Rea;;February 1, 2022;2021;TV-MA;77;;6.7
689;Donnie Brasco;Un agente encubierto del FBI infiltra en una familia de la mafia de Nueva York y desarrolla una estrecha amistad con un asesino a sueldo, poniendo su trabajo, y su vida, en juego.;Dramas, Thrillers;Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Željko Ivanek, Gerry Becker, Zach Grenier, Robert Miano;Mike Newell;;February 1, 2022;1997;R;127;;7.6
690;Expedition Happiness;Un cineasta y su novia músico intentan un viaje épico con su perro, viajando por América del Norte en un autobús escolar restaurado.;Documentaries, International Movies;Selima Taibi, Felix Starck;Selima Taibi;;February 1, 2022;2017;TV-PG;96;;6.1
691;Gabby's Dollhouse;¡Lindos gatos, artesanías extravagantes y colorida magia! Únase a el entusiasta de Kitty Gabby y su compañero Pandy Paws mientras se unen para una serie de aventuras animadas.;Kids' TV;Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen;;United States;February 1, 2022;2022;TV-Y;;4 SEASONS;7
692;Legend of the Guardians: The Owls of Ga'Hoole;Cuando un joven lechuza descubre un plan malvado para apoderarse del reino del búho, su única esperanza es encontrar los legendarios protectores del reino: los guardianes.;Children & Family Movies;Helen Mirren, Geoffrey Rush, Jim Sturgess, Hugo Weaving, Emily Barclay, Abbie Cornish, Ryan Kwanten, Anthony LaPaglia, Miriam Margolyes, Sam Neill;Zack Snyder;;February 1, 2022;2010;PG;97;;7
693;Little Women;Criado por una madre de voluntad fuerte, las hermanas Jo, Meg, Beth y Amy comparten dolores de crecimiento, tragedias familiares y aspiraciones personales en Estados Unidos del siglo XIX.;Children & Family Movies, Cult Movies, Dramas;Susan Sarandon, Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis, Kirsten Dunst, Claire Danes, Christian Bale, Eric Stoltz, John Neville, Mary Wickes, Donal Logue;Gillian Armstrong;;February 1, 2022;1994;PG;119;;7.4
694;Me Against You: Mr. S's Vendetta;Una joven pareja que hace videos populares de YouTube para niños se propone ganar un premio, pero una mente maestra malvada se interpone en el camino de su éxito.;Children & Family Movies, Comedies;Luigi Calagna, Sofia Scalia, Michele Savoia, Giustina Buonomo, Antonella Carone, Marilisa Protomastro, Paolo Di Caprio, Fernando Di Virgilio;Gianluca Leuzzi;;February 1, 2022;2020;TV-G;64;;
695;My Best Friend Anne Frank;Basado en la amistad de la vida real entre Anne Frank y Hannah Goslar, desde Amsterdam ocupada por los nazis hasta su desgarradora reunión en un campo de concentración.;Dramas, International Movies;Josephine Arendsen, Aiko Mila Beemsterboer, Roeland Fernhout, Lottie Hellingman, Simone Canaris, Stefan de Walle, Adél Jordán, Tünde Szalontay;Ben Sombogaart;;February 1, 2022;2021;TV-14;103;;
696;My Little Pony: Friendship Is Magic;Viaje a la tierra encantada de Equestria, donde el crepúsculo unicornio y sus amigos tienen aventuras y aprenden lecciones valiosas sobre la amistad.;Kids' TV;Ashleigh Ball, Tabitha St. Germain, Tara Strong, Andrea Libman, Cathy Weseluck, Nicole Oliver;;United States, Canada;February 1, 2022;2018;TV-Y;;4 SEASONS;7.5
697;New York Prison Break: The Seduction of Joyce Mitchell;La fantasía es seducida por la fantasía de que dos asesinos condenados están enamorados de ella y ayudan a planear su escape. Basado en una historia real.;Dramas;Penelope Ann Miller, Joe Anderson, Myk Watford, Daniel Roebuck, Vic Browder, Alex Knight, Luce Rains;Stephen Tolkin;;February 1, 2022;2017;TV-MA;88;;5.3
698;Patsy & Loretta;Cuando la estrella del country Patsy Cline conoce a Loretta Lynn, la hija de un carbón con solo una guitarra a su nombre, lleva a la artista en ciernes bajo su ala.;Dramas, Music & Musicals;Megan Hilty, Jessie Mueller, Kyle Schmid, Janine Turner, Joe Tippett, Billy Slaughter;Callie Khouri;;February 1, 2022;2019;TV-14;88;;6.7
699;Raising Dion;Una madre viuda se propone resolver el misterio que rodea a las superpotencias emergentes de su hijo pequeño mientras mantiene sus extraordinarios dones en secreto.;Kids' TV, TV Action & Adventure, TV Dramas;Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney;;United States;February 1, 2022;2019;TV-PG;;2 SEASONS;7
700;The Book of Eli;Decidido a proteger un texto sagrado que promete salvar a la humanidad, Eli va en una búsqueda hacia el oeste a través del país estéril y postapocalíptico.;Action & Adventure, Sci-Fi & Fantasy;Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits;Albert Hughes, Allen Hughes;;February 1, 2022;2010;R;118;;7
701;The Contractor;Un asesino sale de la jubilación para eliminar un último objetivo. Pero cuando la misión sale mal, recibe una ayuda inesperada de una interpolación huérfana.;Action & Adventure;Wesley Snipes, Eliza Bennett, Lena Headey, Ralph Brown, Charles Dance, Gemma Jones, Iain Robertson, Richard Harrington;Josef Rusnak;;February 1, 2022;2007;R;99;;5.4
702;The Exorcist;La espantosa posesión demoníaca de una niña de 12 años lleva a su desesperada madre a llamar a dos sacerdotes para salvarla en una batalla viciosa de bien contra mal.;Classic Movies, Cult Movies, Horror Movies;Ellen Burstyn, Max von Sydow, Lee J. Cobb, Jason Miller, Linda Blair, Kitty Winn, Jack MacGowran, William O'Malley, Barton Heyman, Peter Masterson;William Friedkin;;February 1, 2022;1973;R;122;;8.1
703;The Foreigner;Después de que su hija es asesinada por terroristas, un restaurador hosco busca las identidades de los responsables, que se venía en sus propias manos.;Action & Adventure, International Movies;Jackie Chan, Pierce Brosnan, Orla Brady, Dermot Crowley, Ray Fearon, Rory Fleck Byrne, Michael McElhatton, Charlie Murphy, Liu Tao, Lia Williams, Caolan Byrne, John Cronin, Stephen Hogan, Rufus Jones;Martin Campbell;;February 1, 2022;2017;R;113;;7.1
704;The Last Samurai;Un veterano de guerra estadounidense contratado para enseñar tácticas militares modernas en la década de 1870, Japón queda atrapado en el conflicto entre el Emperador y el Samurai.;Action & Adventure, Dramas;Tom Cruise, Ken Watanabe, Timothy Spall, Billy Connolly, Tony Goldwyn, Hiroyuki Sanada, Masato Harada, Koyuki, William Atherton, Shun Sugata;Edward Zwick;;February 1, 2022;2003;R;154;;7.7
705;The One;Cazado por un doble siniestro y poderoso que ha escapado de un universo paralelo, un oficial de policía queda atrapado en una batalla mortal a través de las dimensiones.;Action & Adventure, Sci-Fi & Fantasy;Jet Li, Carla Gugino, Delroy Lindo, Jason Statham, James Morrison, Dylan Bruno, Richard Steinmetz, Steve Rankin, Mark Borchardt, Ron Zimmerman;James Wong;;February 1, 2022;2001;PG-13;87;;5.8
706;The Other Boleyn Girl;Las ambiciosas hermanas Boleyn Anne y Mary compiten por el corazón del poderoso pero intemperate rey Enrique VIII.;Dramas, International Movies, Romantic Movies;Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess, Mark Rylance, Kristin Scott Thomas, David Morrissey, Benedict Cumberbatch, Oliver Coleman, Ana Torrent, Eddie Redmayne, Juno Temple;Justin Chadwick;;February 1, 2022;2008;PG-13;115;;6.5
707;The Other Guys;Desesperados por ser los mejores policías de la Fuerza, dos detectives inadaptados se liberan de sus trabajos de escritorio y se topan con el caso más grande de sus carreras.;Action & Adventure, Comedies;Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan, Ray Stevenson, Samuel L. Jackson, Dwayne Johnson, Lindsay Sloane, Natalie Zea;Adam McKay;;February 1, 2022;2010;PG-13;108;;6.7
708;The Texas Chainsaw Massacre;Un grupo despreocupado de amigos tropieza con una casa de horrores más allá de la imaginación, donde un asesino que empuña la motosierra y su familia asesina quedan en espera.;Horror Movies;Jessica Biel, Jonathan Tucker, Erica Leerhsen, Mike Vogel, Eric Balfour, Andrew Bryniarski, R. Lee Ermey, David Dorfman, Lauren German, Terrence Evans, Marietta Marich, Heather Kafka;Marcus Nispel;;February 1, 2022;2003;R;98;;6.3
709;The Texas Chainsaw Massacre: The Beginning;Los brutales comienzos de Leatherface emergen cuando dos hermanos en un viaje por carretera con sus novias en 1969 chocan con el clan de caníbales del asesino.;Horror Movies;Jordana Brewster, Taylor Handley, Matt Bomer, Diora Baird, R. Lee Ermey, Andrew Bryniarski, Lee Tergesen, Terrence Evans, Kathy Lamkin, Marietta Marich;Jonathan Liebesman;;February 1, 2022;2006;R;91;;5.9
710;Time;Un asesino retirado y sus viejos parejas encuentran un propósito renovado al ayudar a otros adultos mayores a terminar sus vidas, hasta que una joven solicita sus servicios.;Comedies, Dramas, Independent Movies;Patrick Tse, Petrina Fung, Lam Suet, Chung Suet-ying, Sam Lee, J.J. Jia, Belinda Yan, Zeno Koo;Ricky Ko;;February 1, 2022;2021;TV-MA;98;;
711;Can You Keep a Secret?;Después de compartir un corazón a corazón con un extraño extraño, Emma se encuentra cara a cara con viejas vulnerabilidades, un nuevo romance y, lo más importante, a sí misma.;Comedies, Independent Movies, Romantic Movies;Alexandra Daddario, Tyler Hoechlin, Sunita Mani, David Ebert, Kimiko Glenn, Laverne Cox, Judah Friedlander;Elise Duran;;February 1, 2022;2019;TV-MA;95;;5.1
712;All's Well, End's Well (2009);Afrovido por una regla familiar que le prohíbe casarse hasta que su obstinada hermana se enganche, un soltero recluta la ayuda de un gurú de amor para cortejarla.;Comedies, International Movies, Romantic Movies;Louis Koo, Sandra Ng, Raymond Wong, Ronald Cheng, Yao Chen, Guo Tao, Heung Kam Lee, Chun Chau Ha, Miki Shum;Vincent Kok;;February 1, 2022;2009;TV-14;99;;5
713;S Storm;El investigador anticorrupción William Luk debe unir fuerzas con el detective Lau Po-Keung para derribar un sindicato del crimen involucrado en las apuestas deportivas.;Action & Adventure, International Movies;Louis Koo, Julian Cheung, Vic Chou, Ada Choi, Bowie Lam, Dada Chan, Janelle Sing, Lo Hoi-pang;David Lam;;February 1, 2022;2016;TV-MA;95;;5.2
714;White Noise;En busca de una aventura, un multimillonario aburrido intercambia su vida de cinco estrellas por una menos lujosa, pero un romance inesperado pronto lo deja en conflicto.;Dramas, International Movies, Romantic Movies;Nicolas Mouawad, Zeina Makki, Marcel Abou Shakra, Farid Matar, Nagham, Muhammad Dayikh, Crystal Nasif, Hussein Kaouk, Fadi Mitri, Joseph Abboud, Adnan Awad;Salim el Turk;;January 30, 2022;2017;TV-14;92;;
715;The Falls;Después de tener que poner en cuarentena juntos durante Covid-19, una madre y una hija se ven obligados a enfrentar sus obstáculos personales y tensiones de relación.;Dramas, Independent Movies, International Movies;Alyssa Chia, Gingle Wang, Chen Yi-wen, Lee Lee-zen, Renzo Liu, Yang Li-yin, Sung Shao-ching, Waa Wei;Chung Mong-hong;;January 29, 2022;2021;TV-14;129;;
716;All of Us Are Dead;Una escuela secundaria se convierte en la zona cero para un brote de virus zombie. Los estudiantes atrapados deben luchar para salir, o convertirse en uno de los rabiosos infectados.;International TV Shows, TV Dramas, TV Horror;Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee You-mi, Kim Byong-chul, Lee Kyoo-hyung, Jeon Bae-soo;;South Korea;January 28, 2022;2022;TV-MA;;1 SEASON;7.6
717;Angry Birds: Summer Madness;¡Teen Birds Red, Chuck, Bomb y Stella se estrellan por Camp Splinterwood con sus compañeros de campista emplumados para un verano de travesuras de alto vuelo!;International TV Shows, Kids' TV, TV Comedies;Adam Kirschner, Ana Sani, Deven Christian Mack, Gigi Saul Guerrero, Ian Hanlin, Ty Olsson, Peter Kelamis, Tabitha St. Germain;;United States, United Kingdom, Finland;January 28, 2022;2022;TV-Y7;;1 SEASON;5.8
718;Feria: The Darkest Light;Dos hermanas deben enfrentar una nueva realidad, y elementos sobrenaturales, cuando se revela que sus padres participaron en un ritual de culto que termina en la muerte.;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;Carla Campra, Ana Tomeno, Isak Férriz, Marta Nieto, Ernest Villegas, Salva Reina, Carlos Scholz, Berta Hernández, Patricia López Arnaiz, Sauce Ena, Pablo Gómez-Pando, Oti Manzano;;Spain;January 28, 2022;2022;TV-MA;;1 SEASON;5.4
719;Getting Curious with Jonathan Van Ness;Jonathan Van Ness deja que la curiosidad lidere el camino mientras iba de bocadillos a pelucas en este podcast Spinff Chock-Full-Full de expertos e invitados especiales.;Reality TV, Science & Nature TV, TV Comedies;Jonathan Van Ness;;United States;January 28, 2022;2022;TV-MA;;1 SEASON;6.6
720;Home Team;El entrenador suspendido de la NFL, Sean Payton, espera reconectarse con su hijo entrenando a su desventurado equipo de fútbol juvenil en esta comedia familiar basada en una historia real.;Children & Family Movies, Comedies, Sports Movies;Kevin James, Taylor Lautner, Rob Schneider, Jackie Sandler, Gary Valentine, Lavell Crawford, Chloe Fineman, Tait Blum, Maxwell Simkins, Jacob Perez, Bryant Tardy, Manny Magnus, Liam Kyle, Christopher Farrar, Merek Mastrov, Isaiah Mustafa, Jared Sandler;Charles Kinnane, Daniel Kinnane;;January 28, 2022;2022;PG;97;;5.9
721;In From the Cold;Expuesto como un espía ex ruso, una madre soltera estadounidense debe hacer malabarismos con la vida familiar y las habilidades únicas que cambian de forma en una batalla contra un enemigo insidioso.;TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy;Margarita Levieva, Cillian O'Sullivan, Lydia Fleming, Charles Brice, Stasya Miloslavskaya, Alyona Khmelnitskaya, Anastasia Martin, Lola Mae Loughran;;United States;January 28, 2022;2022;TV-MA;;1 SEASON;6.1
722;Kapil Sharma: I'm Not Done Yet;Desde el coraje líquido detrás de sus tweets hasta las aleccionadoras realidades de lograrlo en Mumbai, Kapil está derramando su corazón, con una gran glug de humor.;Stand-Up Comedy;Kapil Sharma;Saahil Chhabria;;January 28, 2022;2022;TV-MA;54;;6.6
723;The Orbital Children;En 2045, dos niños nacidos en la luna y tres niños de la Tierra intentan sobrevivir después de que un accidente en su estación espacial los deja varados.;Anime Series, International TV Shows;Natsumi Fujiwara, Azumi Waki, Kensho Ono, Chinatsu Akasaki, Yumiko Kobayashi, Mariya Ise;;Japan;January 28, 2022;2022;TV-14;;1 SEASON;6.6
724;The Woman in the House Across the Street from the Girl in the Window;Mezcla de vino, píldoras, guisos y una imaginación hiperactiva, Anna se obsesiona con un vecino fornido al otro lado de la calle y es testigo de un asesinato. ¿O ella?;Crime TV Shows, TV Comedies, TV Dramas;Kristen Bell, Michael Ealy, Tom Riley, Samsara Yett, Mary Holland, Cameron Britton, Christina Anthony, Shelley Hennig, Benjamin Levy Aguilar, Brenda Koo;;United States;January 28, 2022;2022;TV-MA;;1 SEASON;6.2
725;Behind the Scenes With Jane Campion;"Visite raro el proceso creativo del cineasta ganador del Premio de la Academia, Jane Campion, mientras comparte sus recuerdos de hacer ""el poder del perro"".";Documentaries;;;;January 27, 2022;2022;TV-14;18;;
726;Chosen;Una niña de 17 años encuentra que su mundo se pone patas arriba cuando ella y sus amigos descubren la inquietante verdad al acecho en su tranquila ciudad danesa.;International TV Shows, TV Mysteries, TV Sci-Fi & Fantasy;Malaika Berenth Mosendane, Andrea Heick Gadeberg, Andreas Dittmer, Albert Rudbeck Lindhardt, Mohamed Djeziri, Magnus Juhl Andersen, Anders Heinrichsen, Line Kruse, Henrik Prip, Marie Louise Wille, Ken Vedsegaard;;Denmark;January 27, 2022;2022;TV-MA;;1 SEASON;4.1
727;Den-noh Coil;Yuko se muda a una ciudad inundada en la tecnología de realidad aumentada y se une a la agencia de detectives de su abuela con otros niños, buscando hijos desaparecidos.;Anime Series, Kids' TV;Fumiko Orikasa, Akiko Yajima, Sachiko Kojima, Reiko Suzuki, Yumiko Kobayashi, Mayumi Yamaguchi, Houko Kuwashima, Romi Park, Rie Saito, Junko Noda, Kikumi Umeda, Yusuke Numata;;;January 27, 2022;2007;TV-Y7;;1 SEASON;
728;Framed! A Sicilian Murder Mystery;Después de que dos técnicos de televisión desafortunados se topan con una escena de crianza, cada paso que dan para evitar que se convierte en sospechosos los asusta en problemas más profundos.;Crime TV Shows, International TV Shows, TV Comedies;Salvo Ficarra, Valentino Picone, Anna Favella, Marianna Di Martino, Tony Sperandeo, Maurizio Marchetti, Mary Cipolla, Sergio Friscia;Salvo Ficarra, Valentino Picone;;January 27, 2022;2022;TV-MA;;1 SEASON;6.7
729;I Am Georgina;Únase a Georgina Rodríguez, madre, influyente, empresaria y socia de Cristiano Ronaldo, en este retrato emocional y profundo de su vida diaria.;International TV Shows, Reality TV, Spanish-Language TV Shows;Georgina Rodríguez, Ronaldo, Ivana Rodríguez;;United States;January 27, 2022;2022;TV-14;;1 SEASON;3.8
730;Only You;De vuelta en su ciudad natal para el cumpleaños de su abuela, un agente de bienes raíces se vuelve a conectar con un amigo de la infancia, trayendo nuevas posibilidades en la vida y el amor.;Comedies, International Movies, Romantic Movies;Janine Gutierrez, Pepe Herrera, Pilita Corrales, Vangie Labalan, Dindo Arroyo, Archie Alemania, Nicco Manalo, Faye Lorenzo;Marla M. Ancheta;;January 27, 2022;2021;TV-PG;110;;6.3
731;The Grown-Ups;En una escuela de trabajo-estudio para aquellos con síndrome de Down, los estudiantes en su sueño de independencia y matrimonio de 40 años a pesar de los bajos salarios y los deseos de sus familias.;Documentaries, International Movies;;Maite Alberdi;Chile, France, Netherlands;January 27, 2022;2016;TV-14;82;;7.5
732;Sudani from Nigeria;Cuando un gerente del club de fútbol trae a uno de sus jugadores extranjeros lesionados a casa para recuperarse, forman un vínculo poco probable a pesar de sus diferencias culturales.;Comedies, Dramas, International Movies;Soubin Shahir, Samuel Abiola Robinson, Savithri Sredharan, Sarasa Balussery, Navas Vallikkunnu, Lukman Lukku, Abhiram Pothuval, Naser Karutheni, Aneesh Menon, K.T.C. Abdullah;Zakariya;;January 27, 2022;2018;TV-14;115;;8.1
733;Tea Time;El documentalista Maite Alberdi captura a su abuela tomando té y conversación con amigos, un ritual que han celebrado mensualmente por más de 60 años.;Documentaries, International Movies;;Maite Alberdi;;January 27, 2022;2014;TV-PG;70;;
734;Ada Twist, Scientist;La científica del tamaño de una pinta, Ada Twist, y sus dos mejores amigos están haciendo grandes preguntas, ¡y trabajando juntos para descubrir la verdad sobre todo!;Kids' TV;Amanda Christine, Nicholas Crovetti, Candace Kozak, Terrence Little Gardenhigh, Susan Kelechi Watson, Taye Diggs;;United States;January 25, 2022;2022;TV-Y;;2 SEASONS;6.4
735;Aziz Ansari: Nightclub Comedian;Después de otro año de bloqueos, Aziz sube al escenario para sesgar la vida de la pandemia, las cuarentenas, las tarjetas de vacunas, los ramas de celebridades, los teléfonos inteligentes y más.;Stand-Up Comedy;Aziz Ansari;Aziz Ansari;;January 25, 2022;2022;TV-MA;30;;
736;Badanamu Stories;Juega con Bada curiosa y de corazón cálido y sus aventureros amigos animales mientras aprenden algo nuevo todos los días en esta serie educativa.;Kids' TV;Hudson Meek, Christopher Nguyen, Mollie Masters, Cassie Glow, Brixton Berry, Lisa Biggs, Thessaly Lerner, Cameron Gregg;;;January 25, 2022;2020;TV-Y;;1 SEASON;
737;Neymar: The Perfect Chaos;Amado en todo el mundo, pero también un pararrayos para las críticas, Neymar comparte los altibajos de su vida personal y su brillante carrera en el fútbol.;Docuseries;Neymar Jr;David Charles Rodrigues;;January 25, 2022;2022;TV-MA;;1 SEASON;
738;Pocoyo;Discovery es el nombre del juego para el amigo amigable Pocoyo en esta serie de aventuras animadas realistas y de colores ricos para preescolares.;Kids' TV, Spanish-Language TV Shows;Stephen Fry, Alex Marty;;Spain, United Kingdom;January 24, 2022;2017;TV-Y;;3 SEASONS;7.4
739;Three Songs for Benazir;Recién casado y viviendo en un campamento de desplazamiento, un hombre afgano lucha por equilibrar su sueño de unirse al ejército nacional con responsabilidades familiares.;Documentaries, International Movies;;Elizabeth Mirzaei, Gulistan Mirzaei;Afghanistan;January 24, 2022;2022;TV-PG;22;;6.3
